ID,Trial,Key,Pop,Date_mm_dd,Start_on_video,Latcross_hurdle,Num_cross,Center_s,ST_length,Type,Pool,Temp,Sex_sim,Notes,13C,15N,K_ST
UP_14,2,UP_14_2,UP,06_19,6:13,21,27,0,231,Fly,Camp,,F,,-28.78,10.91,0.001201487
UP_14,3,UP_14_3,UP,06_20,6:24,4,17,4,231,Fly,Camp,,F,,-28.78,10.91,0.001201487
UP_15,1,UP_15_1,UP,06_19,7:46,15,1,47,223,Spin,Camp,,F,,-30.34,10.75,0.001331882
UP_15,2,UP_15_2,UP,06_20,6:33,78,9,17,223,Spin,Camp,,F,,-30.34,10.75,0.001331882
UP_15,3,UP_15_3,UP,06_21,7:15,10,25,12,223,Spin,Camp,,F,,-30.34,10.75,0.001331882
UP_16,1,UP_16_1,UP,06_19,7:01,71,5,60,204,Spin,River,,F,,-29.11,11.56,0.001300405
UP_16,2,UP_16_2,UP,06_20,5:50,0,0,52,204,Spin,River,,F,,-29.11,11.56,0.001300405
UP_16,3,UP_16_3,UP,06_21,8:06,0,0,45,204,Spin,River,,F,,-29.11,11.56,0.001300405
UP_17,1,UP_17_1,UP,06_20,6:57,5,22,32,222,Spin,Camp,,F,,-29.65,10.64,0.001371898
UP_17,2,UP_17_2,UP,06_21,7:15,6,8,9,222,Spin,Camp,,F,,-29.65,10.64,0.001371898
UP_17,3,UP_17_3,UP,06_22,7:06,268,2,6,222,Spin,Camp,16,F,,-29.65,10.64,0.001371898
UP_18,1,UP_18_1,UP,06_20,5:55,72,15,46,219,Spin,River,,M,,-29.19,11.88,0.001388114
UP_18,2,UP_18_2,UP,06_21,6:44,39,11,14,219,Spin,River,,M,,-29.19,11.88,0.001388114
UP_18,3,UP_18_3,UP,06_22,6:40,26,7,0,219,Spin,River,15.9,M,,-29.19,11.88,0.001388114
UP_19,1,UP_19_1,UP,06_20,6:35,191,3,44,245,Spin,Camp,,F,,-28.97,10.72,0.00122194
UP_19,2,UP_19_2,UP,06_21,6:38,0,0,31,245,Spin,Camp,,F,,-28.97,10.72,0.00122194
UP_19,3,UP_19_3,UP,06_22,9:00,0,0,12,245,Spin,Camp,16.7,F,,-28.97,10.72,0.00122194
UP_20,1,UP_20_1,UP,06_20,6:11,58,31,10,186,Fly,River,,J,,-29.01,10.34,0.001237013
UP_20,2,UP_20_2,UP,06_21,7:09,8,23,34,186,Fly,River,,J,,-29.01,10.34,0.001237013
UP_20,3,UP_20_3,UP,06_22,8:37,85,14,28,186,Fly,River,16.5,J,Crossed under barrier,-29.01,10.34,0.001237013
UP_22,1,UP_22_1,UP,06_21,6:37,234,1,13,243,Spin,Camp,16.9,M,,-30.35,10.89,0.001319961
UP_22,2,UP_22_2,UP,06_22,6:00,0,0,28,243,Spin,Camp,16.1,M,,-30.35,10.89,0.001319961
UP_22,3,UP_22_3,UP,06_23,6:47,0,0,5,243,Spin,Camp,17.1,M,,-30.35,10.89,0.001319961
UP_23,1,UP_23_1,UP,06_22,6:58,7,5,23,245,Spin,Camp,17,M,,-29.81,10.83,0.001279739
UP_23,2,UP_23_2,UP,06_23,10:45,0,0,7,245,Spin,Camp,14.7,M,,-29.81,10.83,0.001279739
UP_23,3,UP_23_3,UP,06_24,7:10,46,2,14,245,Spin,Camp,17,M,,-29.81,10.83,0.001279739
UP_24,1,UP_24_1,UP,06_22,6:33,47,8,0,224,Spin,River,17.2,F,,-29.86,10.95,0.001504525
UP_24,2,UP_24_2,UP,06_23,9:29,29,11,26,224,Spin,River,15,F,,-29.86,10.95,0.001504525
UP_24,3,UP_24_3,UP,06_24,6:30,15,7,9,224,Spin,River,17.4,F,,-29.86,10.95,0.001504525
UP_25,1,UP_25_1,UP,06_22,6:05,208,1,48,276,Fly,River,16.3,F,,-28.71,11.01,0.001288492
UP_25,2,UP_25_2,UP,06_23,6:00,45,3,48,276,Fly,River,13,F,,-28.71,11.01,0.001288492
UP_25,3,UP_25_3,UP,06_24,6:58,124,1,38,276,Fly,River,12.9,F,,-28.71,11.01,0.001288492
UP_26,1,UP_26_1,UP,06_24,7:33,0,0,0,217,Fly,Camp,17.7,F,,-29.69,11.2,0.001407277
UP_26,2,UP_26_2,UP,06_25,7:15,0,0,17,217,Fly,Camp,15.1,F,,-29.69,11.2,0.001407277
UP_27,1,UP_27_1,UP,06_26,6:05,0,0,126,220,Fly,River,14.7,F,,-29.73,11.87,0.001233095
UP_27,2,UP_27_2,UP,06_27,5:56,0,0,111,220,Fly,River,15.7,F,,-29.73,11.87,0.001233095
UP_27,3,UP_27_3,UP,06_28,6:55,0,0,116,220,Fly,River,18.3,F,,-29.73,11.87,0.001233095
UP_28,2,UP_28_2,UP,06_27,6:42,7,19,22,204,Fly,Camp,15.3,F,,-29.3,11.97,0.001354588
UP_28,3,UP_28_3,UP,06_28,7:45,0,0,234,204,Fly,Camp,18,F,,-29.3,11.97,0.001354588
UP_29,1,UP_29_1,UP,06_26,6:17,150,6,64,230,Spin,River,16.9,M,,-29.37,11.53,0.001754746
UP_29,2,UP_29_2,UP,06_27,7:16,0,0,0,230,Spin,River,18.2,M,,-29.37,11.53,0.001754746
UP_30,1,UP_30_1,UP,06_26,5:56,0,0,0,231,Spin,Camp,18.3,F,,,,0.001570614
UP_30,2,UP_30_2,UP,06_27,7:53,0,0,62,231,Spin,Camp,17.8,F,,,,0.001570614
UP_31,1,UP_31_1,UP,06_26,6:25,0,0,48,205,Fly,River,18.5,M,,,,0.00159603
UP_31,2,UP_31_2,UP,06_27,5:43,0,0,224,205,Fly,River,20,M,,,,0.00159603
